song,times_played_last_year,last_time_played_date,current_show_gap,average_gap,median_gap
Nellie Kane,2,2025-07-03,9,35.0,35.0
Auld Lang Syne,1,2024-12-31,24,,
Brian and Robert,1,2024-07-26,52,,
Box of Rain,1,2024-10-25,30,,
Carolina,1,2025-07-12,4,,
Buffalo Bill,1,2025-07-05,7,,
Guy Forget,1,2024-08-03,46,,
Good Times Bad Times,1,2024-07-26,52,,
Fuck Your Face,1,2024-12-28,27,,
Esther,1,2024-07-27,51,,
Fee,1,2024-08-30,38,,
Fast Enough for You,1,2025-06-22,12,,
Fikus,1,2024-08-11,40,,
Frankenstein,1,2024-08-07,43,,
Devotion To a Dream,1,2025-07-11,5,,
Death Don't Hurt Very Long,1,2024-08-07,43,,
Daniel Saw the Stone,1,2025-06-27,10,,
Crowd Control,1,2025-06-27,10,,
Dog Log,1,2024-09-01,36,,
Dinner and a Movie,1,2024-08-10,41,,
Dogs Stole Things,1,2025-06-24,11,,
Egg in a Hole,1,2025-06-22,12,,
Contact,1,2024-07-26,52,,
Access Me,1,2024-10-27,28,,
A Song I Heard the Ocean Sing,1,2024-07-28,50,,
Big Black Furry Creature from Mars,1,2024-08-09,42,,
Icculus,1,2024-12-31,24,,
Horn,1,2024-07-31,48,,
Mr. Completely,1,2024-07-31,48,,
My Mind's Got a Mind of its Own,1,2025-07-11,5,,
Miss You,1,2024-07-31,48,,
I Am the Walrus,1,2025-07-12,4,,
Lengthwise,1,2024-12-30,25,,
Knuckle Bone Broth Avenue,1,2024-08-04,45,,
Jesus Just Left Chicago,1,2025-07-12,4,,
Leaves,1,2024-07-24,53,,
Lawn Boy,1,2024-07-31,48,,
McGrupp and the Watchful Hosemasters,1,2024-08-04,45,,
Poor Heart,1,2024-12-28,27,,
Petrichor,1,2025-07-09,6,,
Nothing,1,2024-10-26,29,,
Paul and Silas,1,2025-06-24,11,,
No Quarter,1,2025-07-04,8,,
Midnight Rider,1,2024-08-14,31,,
Stairway to Heaven,1,2024-08-14,31,,
Sneakin' Sally Through the Alley,1,2025-07-03,9,,
Sabotage,1,2024-09-01,36,,
Rocky Top,1,2025-07-03,9,,
Roses Are Free,1,2025-07-03,9,,
Round Room,1,2024-12-28,27,,
Seven Below,1,2024-12-30,25,,
Scent of a Mule,1,2024-08-02,47,,
Shine a Light,1,2024-08-09,42,,
Silent in the Morning,1,2024-07-26,52,,
The Horse,1,2024-07-26,52,,
The Connection,1,2024-07-21,55,,
Sugar Shack,1,2024-08-29,39,,
Spanish Moon,1,2025-07-11,5,,
Soul Shakedown Party,1,2025-02-01,32,,
Train Song,1,2024-08-06,44,,
The Landlady,1,2025-04-27,16,,
The Oh Kee Pa Ceremony,1,2024-08-02,47,,
Weigh,1,2024-08-10,41,,
Waves,1,2024-08-10,41,,
Water in the Sky,1,2025-06-24,11,,
Waiting All Night,1,2025-07-09,6,,
Wingsuit,1,2024-08-04,45,,
Winterqueen,1,2024-12-30,25,,
Woodlands Jam,1,2024-08-16,60,,
Your Pet Cat,1,2024-08-16,60,,
