venueid,venue,city,state,country
149,"The Clarke Memorial Fountain, Notre Dame University",Notre Dame,IN,USA
150,Woodbury Ski & Racquet Club,Woodbury,CT,USA
151,Boston World Trade Center Exhibition Hall,Boston,MA,USA
152,Cabaret Metro,Chicago,IL,USA
153,Theatre de Verdure,Nice,,France
154,The Forum,NÃ¼remberg,,Germany
155,Markthalle,Hamburg,,Germany
156,Marine Midland Arena,Buffalo,NY,USA
157,Madison Square Garden,New York,NY,USA
158,Target Center,Minneapolis,MN,USA
159,Michigan State University Union Ballroom,East Lansing,MI,USA
160,Bogart's,Cincinnati,OH,USA
161,St. Andrew's Hall,Detroit,MI,USA
162,The Agora Theatre,Cleveland,OH,USA
163,The Riviera Theatre,North Tonawanda,NY,USA
164,The Syracuse Armory,Syracuse,NY,USA
165,"Campus Pond, University of Massachusetts",Amherst,MA,USA
166,St. Lawrence University,Canton,NY,USA
167,The Capitol Theatre,Port Chester,NY,USA
168,Portland Expo,Portland,ME,USA
169,Providence Performing Arts Center,Providence,RI,USA
170,"Beta Theta Pi Frat House Party, Denison University",Granville,OH,USA
171,Melkweg,Amsterdam,,Netherlands
172,Hilton Coliseum,Ames,IA,USA
173,The Cow Palace,Daly City,CA,USA
174,Auditorium Theatre,Rochester,NY,USA
175,Smith Opera House,Geneva,NY,USA
176,Haas Center for the Arts,Bloomsburg,PA,USA
177,Mid-Hudson Civic Center,Poughkeepsie,NY,USA
178,"Memorial Hall, University of North Carolina",Chapel Hill,NC,USA
179,J.J. McCabe's,Boulder,CO,USA
180,El Dorado CafÃ©,Crested Butte,CO,USA
182,The Library,Richmond,VA,USA
183,Jack McConnell's House,Hilton Head,SC,USA
184,Pista Speedway,Lonigo,,Italy
185,"Silva Concert Hall, Hult Center for the Performing Arts",Eugene,OR,USA
186,FleetCenter,Boston,MA,USA
187,Benton Convention Center,Winston-Salem,NC,USA
188,Herman's Hideaway,Denver,CO,USA
189,Lonestar Roadhouse,New York,NY,USA
190,The Orpheum Theatre,Boston,MA,USA
191,"Achilles Rink, Union College",Schenectady,NY,USA
192,Waldbuhne,Northeim,,Germany
193,Philipshalle,DÃ¼sseldorf,,Germany
194,Resi,NÃ¼remberg,,Germany
195,Roskilde Festival,Roskilde,,Denmark
196,Elysee Montmartre,Paris,,France
197,Ancienne Belgique,Brussels,,Belgium
198,Brixton Academy,London,,England
199,Boulder Theater,Boulder,CO,USA
200,"Ramskeller, Colorado State University",Fort Collins,CO,USA
201,"Canyon West Room, Lincoln Center",Fort Collins,CO,USA
202,Earlham College,Richmond,IN,USA
203,Somerville Theatre,Somerville,MA,USA
204,Clement's Brew Pub,Syracuse,NY,USA
205,Shepherd's Bush Empire,London,,England
206,La Marna,Sesto Calende,,Italy
207,"Cutler Quad, Colorado College",Colorado Springs,CO,USA
208,Cumberland County Civic Center,Portland,ME,USA
209,Empire Court,Syracuse,NY,USA
210,Garden State Arts Center,Holmdel,NJ,USA
211,Jones Beach Amphitheater,Wantagh,NY,USA
212,The Boathouse,Norfolk,VA,USA
213,The Mann Center for the Performing Arts,Philadelphia,PA,USA
214,Great Woods Center for the Performing Arts,Mansfield,MA,USA
215,Holman Stadium,Nashua,NH,USA
216,The Band House,Winooski,VT,USA
217,MTV Studios,New York,NY,USA
218,Stowe Performing Arts Center,Stowe,VT,USA
219,Big Birch Concert Pavilion,Patterson,NY,USA
220,Saratoga Performing Arts Center,Saratoga Springs,NY,USA
221,Finger Lakes Performing Arts Center,Canandaigua,NY,USA
222,Meadow Brook Music Festival,Rochester Hills,MI,USA
223,Blossom Music Center,Cuyahoga Falls,OH,USA
224,Poplar Creek Music Center,Hoffman Estates,IL,USA
225,Riverport Amphitheater,Maryland Heights,MO,USA
226,"Reception Hall, SwissÃ´tel",Boston,MA,USA
227,"Studio 8H, NBC Studios",New York,NY,USA
228,Ed Sullivan Theater,New York,NY,USA
229,Great Western Forum,Inglewood,CA,USA
230,Thomas & Mack Center,Las Vegas,NV,USA
231,"Dionysus Club, The 'Sco, Oberlin College",Oberlin,OH,USA
232,The Strand Theater,Dorchester,MA,USA
233,Pearl Street Ballroom,Northampton,MA,USA
234,Electric Ballroom,Knoxville,TN,USA
235,Roxy Theatre,Atlanta,GA,USA
236,Pepsi Center,Denver,CO,USA
237,Allstate Arena,Rosemont,IL,USA
238,U.S. Bank Arena,Cincinnati,OH,USA
