venueid,venue,city,state,country
1,Meadows Music Theatre,Hartford,CT,USA
2,Nectar's,Burlington,VT,USA
3,Alpine Valley Music Theatre,East Troy,WI,USA
4,Verizon Wireless Music Center,Noblesville,IN,USA
5,Cayuga County Fairgrounds,Weedsport,NY,USA
6,Hampton Coliseum,Hampton,VA,USA
7,Harris-Millis Cafeteria - University of Vermont,Burlington,VT,USA
9,Merriweather Post Pavilion,Columbia,MD,USA
10,Hunt's,Burlington,VT,USA
11,The Grey Hall,Copenhagen,,Denmark
12,Zeleste,Barcelona,,Spain
13,Gallagher's,Waitsfield,VT,USA
14,"Thompson Gym, Phillips Exeter Academy",Exeter,NH,USA
15,"Webster Hall, Dartmouth College",Hanover,NH,USA
16,The Flynn Theatre,Burlington,VT,USA
17,The Metropolis,"Montr̩al, Qu̩bec",,Canada
18,Concert Hall,"Toronto, Ontario",,Canada
19,"Recreation Hall, Penn State University",State College,PA,USA
20,Tree Cafe,Portland,ME,USA
21,The Front,Burlington,VT,USA
22,Broome County Veterans Memorial Arena,Binghamton,NY,USA
23,"Alumni Arena, SUNY Buffalo",Buffalo,NY,USA
24,The Haunt,Ithaca,NY,USA
25,The Georgia Theatre,Athens,GA,USA
26,"Snively Arena, University of New Hampshire",Durham,NH,USA
27,Myskyn's,Charleston,SC,USA
28,Chameleon Club,Lancaster,PA,USA
29,23 East Cabaret,Ardmore,PA,USA
30,WNEW Studios,New York,NY,USA
31,Beacon Theatre,New York,NY,USA
32,The Living Room,Providence,RI,USA
33,The Paradise,Boston,MA,USA
34,"Mullins Center, University of Massachusetts",Amherst,MA,USA
35,"Patriot Center, George Mason University",Fairfax,VA,USA
36,"Bob Carpenter Center, University of Delaware",Newark,DE,USA
37,Virginia Horse Center,Lexington,VA,USA
38,Lawrence Joel Veterans Memorial Coliseum,Winston-Salem,NC,USA
39,Township Auditorium,Columbia,SC,USA
40,The Fox Theatre,Atlanta,GA,USA
41,"Student Union Ballroom, University of Massachusetts",Amherst,MA,USA
42,"Mabel Brown Room, Keene State College",Keene,NH,USA
43,"Dining Center, Haverford College",Haverford,PA,USA
44,The Bayou,Washington,DC,USA
45,8x10 Club,Baltimore,MD,USA
46,69 Grant Street,Burlington,VT,USA
47,Toad's Place,New Haven,CT,USA
48,The Chance,Poughkeepsie,NY,USA
49,Cat's Cradle,Chapel Hill,NC,USA
50,Red Rocks Amphitheatre,Morrison,CO,USA
51,Orange County Fairgrounds,Middletown,NY,USA
52,"Clark University Pub, Clark University",Worcester,MA,USA
53,The Oronoka Restaurant and Hotel,Orono,ME,USA
54,Unknown Venue,Unknown,,USA
55,Greenstreets,Columbia,SC,USA
56,The Jade Elephant,Richmond,VA,USA
57,Stache's,Columbus,OH,USA
58,Canal Street Tavern,Dayton,OH,USA
59,"Der Rathskeller, Memorial Union, University of Wisconsin",Madison,WI,USA
60,Fly Me to the Moon Saloon,Telluride,CO,USA
61,The Pub House,Poultney,VT,USA
62,Thunderbird's,Portland,ME,USA
63,The Old Post Office,Hilton Head,SC,USA
64,The Barrel House,Salem,VA,USA
65,The Ranch,Shelburne,VT,USA
66,The Red Barn,Hinesburg,VT,USA
67,Trax,Charlottesville,VA,USA
68,The Pterodactyl Club,Charlotte,NC,USA
69,Solomon's,Tuscaloosa,AL,USA
70,Tipitina's,New Orleans,LA,USA
71,Liberty Lunch,Austin,TX,USA
72,The Showbar,Houston,TX,USA
73,Rhythm Room,Dallas,TX,USA
74,The Cabooze,Minneapolis,MN,USA
75,Lounge Ax,Chicago,IL,USA
76,The Inferno,Steamboat Springs,CO,USA
77,The Music Hall,Portsmouth,NH,USA
78,The Colonial Theatre,Keene,NH,USA
79,The Wetlands Preserve,New York,NY,USA
80,"Field House, University of New Hampshire",Durham,NH,USA
81,Aiko's,Saratoga Springs,NY,USA
