showid,uniqueid,songid,set,position,transition,isreprise,isjam,isjamchart,jamchart_description,tracktime,gap,is_original,soundcheck,footnote,exclude
1251588374,27248,60,1,12,1,0,0,0,,,15,0,,First known Phish performance.,0
1251588374,27249,815,1,13,1,0,0,0,,,15,1,,First known performance.,0
1251588374,27250,29,1,14,1,0,0,0,,,4,1,,,0
1251588374,27251,288,1,15,1,0,0,0,,,15,0,,First known Phish performance.,0
1251588374,27252,100,1,16,1,0,0,0,,,4,1,,,0
1251588374,27253,478,1,17,4,0,0,0,,,14,1,,First known performance.,0
1251588374,27254,365,2,18,2,0,0,1,"Debut. The lyrics are narrated by Trey, rather than sung, and Page had not yet joined the band. A fairly intense, mostly straightforward Jeff and Trey guitar jam follows the lyrical section. (Circulates as filler on 3/4/85 Hunt's).",,14,1,,First known performance. Narrated rather than sung.,0
1251588374,27255,359,2,19,4,0,0,0,,,10,1,,,0
1251588374,27256,452,3,20,6,0,0,0,,,15,0,,First known Phish performance.,0
1251596261,104953,512,1,1,1,0,2,0,,,7,1,,,0
1251596261,104954,381,1,2,2,0,2,1,"First known recorded version. No Page yet, although he sat in later in this show. Jeff was still in the band. Tempo is slower than later versions. The jam features solid, fairly intense soloing by Trey. Following the descending closing chords, there is a brief, lyrical outro.",7:20,7,1,,,0
1251596261,104955,147,1,3,1,0,2,0,,,7,1,,,0
1251596261,104956,60,1,4,4,0,2,0,,,7,0,,,0
1251596261,104957,22,2,5,1,0,2,0,,,7,1,,,0
1251596261,104958,673,2,6,1,0,2,0,,,7,0,,,0
1251596261,104959,101,2,7,1,0,2,0,,,17,0,,,0
1251596261,104960,311,2,8,3,0,2,0,,,7,0,,,0
1251596261,104961,119,2,9,1,0,2,0,,,7,0,,,0
1251596261,104962,89,2,10,4,0,2,0,,,22,0,,First known Phish performance; Bobby Brown on harmonica.,0
1251596261,104963,489,3,11,3,0,2,0,,,17,0,,,0
1251596261,104964,190,3,12,3,0,2,0,,,17,0,,,0
1251596261,104965,662,3,13,3,0,2,1,"Page is a guest at this point, but he makes a strong contribution to the uncharacteristically (for the ABB or Phish) settled first jam from, 5:30 - 11:45. This is a much different, more chill version than the typically fiery variety. Unfinished with a -&gt; to a strong early &quot;McGrupp.&quot;",18:19,18,0,,Jeff on vocals.,0
1251596261,104966,365,3,14,2,0,2,1,"-> in from ""Whipping Post."" Again, the lyrics are narrated. Page sat in as a guest for this show, and he begins make his presence felt, adding color to the excellent, guitar-driven jam, which has moments that sound similar to ""Drowned"". Eventually getting back to ""McGrupp,"" this version slowly winds down with a > to ""Makisupa.""",12:03,7,1,,,0
1251596261,104967,359,3,15,2,0,2,0,,,7,1,,Reggae jam.,0
1251596261,104968,478,3,16,3,0,2,1,"First recorded performance. -> in from ""Makisupa."" Jam section only of ""Antelope"" is played at a slower tempo, but otherwise has crescendo building characteristics similar to modern versions. -> to the debut of the Grateful Dead's ""The Other One."" ",6:08,7,1,,,0
1251596261,104969,594,3,17,5,0,2,0,,,22,0,,First known Phish performance.,0
1251596261,104970,29,e,18,6,0,2,0,,,7,1,,,0
1251597035,27261,60,1,1,6,0,0,0,,,2,0,,,0
1251597254,8610,164,1,1,1,0,0,0,,,0,1,,First known performance.,1
1251597254,8611,441,1,2,1,0,0,0,,,0,1,,First known performance.,1
1251597254,8612,100,1,3,1,0,0,0,,,0,1,,,1
1251597254,8613,22,1,4,1,0,0,0,,,0,1,,,1
1251597254,8614,478,1,5,1,0,0,0,,,0,1,,,1
1251597254,8615,147,1,6,1,0,0,0,,,0,1,,,1
1251597254,8616,365,1,7,6,0,0,0,,,0,1,,,1
1251597695,279301,355,1,1,2,0,1,0,,,25,0,,,0
1251597695,279302,60,1,2,1,0,0,0,,,1,0,,,0
1251597695,279303,673,1,3,1,0,0,0,,,3,0,,,0
1251597695,279304,42,1,4,1,0,0,0,,,25,0,,,0
1251597695,279305,100,1,5,1,0,0,0,,,10,1,,,0
1251597695,279306,440,1,6,1,0,0,0,,,24,1,,First known version.,0
1251597695,279307,199,1,7,1,0,0,0,,,20,0,,,0
1251597695,279308,512,1,8,1,0,0,0,,,3,1,,,0
1251597695,279309,303,1,9,4,0,0,0,,,14,0,,,0
1251597695,279310,372,2,10,2,0,0,0,,,25,0,,First known version; with a macaroni and cheese vocal jam. Audience shook boxes of macaroni and cheese.,0
1251597695,279311,554,2,11,1,0,0,0,,,25,1,,First known version. Audience shook boxes of macaroni and cheese.,0
1251597695,279312,518,2,12,1,0,0,0,,,13,0,,Audience shook boxes of macaroni and cheese.,0
1251597695,279313,441,2,13,4,0,0,0,,,25,1,,First known public performance.,0
1251597695,279314,381,3,14,2,0,0,0,,,3,1,,,0
1251597695,279315,147,3,15,1,0,0,0,,,3,1,,,0
1251597695,279331,365,3,16,2,0,0,0,,,3,1,,,0
1251597695,279348,119,3,17,1,0,0,0,,,3,0,,,0
