song_id,song,is_original,original_artist,debut_date,last_played,times_played,avg_show_gap
472,I2I,0,Tevin Campbell,2019-06-15,2024-12-31,2,223.5
473,Factory Fiction,1,Vasudo,2016-10-09,2025-06-28,28,27.19
474,Feel Like Making Love,0,Bad Company,2019-10-05,2019-11-27,2,210.5
475,Feliz Navidad,0,Jose Feliciano,2018-12-22,2018-12-22,1,481.0
476,Fire On The Mountain,0,Grateful Dead,2014-11-26,2014-11-26,1,777.0
477,Fish In The Sea,0,Fat Freddy's Drop,2020-06-26,2025-06-27,28,12.43
478,Flodown,1,Vasudo,2015-09-26,2025-06-27,157,4.82
479,Get The Funk Out Ma Face,0,Brothers Johnson,2019-10-31,2023-04-21,7,59.57
480,Ghostbusters,0,Ray Parker Jr.,2018-10-26,2024-04-24,4,166.33
481,Ghostbusters Rap,0,Run DMC,2018-10-27,2022-10-14,20,24.9
482,Green River,0,Creedence Clearwater Revival,2016-07-09,2025-06-17,34,21.18
483,Gone Gone Good,1,Goose,2014-11-21,2015-03-14,3,259.33
484,Gringo,1,Goose,2014-12-20,2019-12-21,5,155.2
485,Hard To Handle,0,Otis Redding,2014-11-26,2023-01-15,7,111.0
486,Heart's On Fire,0,Passenger,2015-02-20,2015-02-20,1,771.0
488,Hollywood Nights,0,Bob Seger & The Silver Bullet Band,2018-05-03,2025-06-15,14,39.0
489,Home,0,Edward Sharp & The Magnetic Zeros,2018-03-15,2018-03-15,1,562.0
490,Honeybee,1,Goose,2019-12-21,2025-06-19,35,11.4
491,Feeling Hot Hot Hot,0,The Merrymen,2018-12-22,2019-12-06,14,34.36
492,Hot Night,0,Laura Branigan,2018-10-27,2020-06-20,6,99.6
493,I Shot The Sheriff,0,Bob Marley,2014-11-26,2015-04-18,2,388.5
494,I Touch Myself,0,Divinyls,2018-07-12,2019-02-15,2,262.0
495,I Wish,0,Stevie Wonder,2014-11-21,2022-03-01,13,59.85
496,I'm Alright,0,Kenny Loggins,2018-07-05,2024-06-20,17,35.07
497,In Memory Of Elizabeth Reed,0,The Allman Brothers Band,2017-01-28,2023-10-08,3,172.5
498,In Your Eyes,0,Peter Gabriel,2020-06-20,2025-06-12,11,32.0
499,Inside Out,0,Spoon,2019-10-18,2025-02-13,16,26.25
500,It Burns Within,1,St. John's Revival,2014-12-20,2024-06-26,10,77.6
501,"It's All Over Now, Baby Blue",0,Bob Dylan,2015-04-18,2021-06-15,2,382.5
502,Jive Lee,1,Goose,2018-06-02,2025-06-22,85,6.39
503,Johnny B. Goode,0,Chuck Berry,2018-05-04,2018-05-04,1,545.0
504,Kung Fu Fighting,0,Carl Douglas,2016-11-23,2019-03-01,2,349.0
505,Lady Marmalade,0,Patti Labell,2019-10-31,2019-12-13,3,139.0
506,Let's Dance,0,David Bowie,2017-05-20,2018-04-21,9,73.33
507,Linus And Lucy,0,Vince Guaraldi,2014-12-20,2022-12-17,8,155.2
508,Liza Jane,0,African American Folk Song,2018-06-01,2024-06-25,19,28.32
509,Love Me Sexy,0,Jackie Moon,2019-10-31,2019-11-27,2,208.5
510,Love T.K.O.,0,Teddy Pendergrass,2018-04-06,2018-04-21,2,278.0
